Brad Pitt,Meet Joe Black (1998),Oceans Eleven (2001),Se7en (1995),Mr & Mrs Smith (2005)
Tom Hanks,Sleepless in Seattle (1993),Catch Me If You Can (2002),You've Got Mail (1998),Da Vinci Code (2006),Charlie Wilsons War (2007)
Meg Ryan,You've Got Mail (1998),Sleepless in Seattle (1993),When Harry Met Sally (1989),Proof of Life (2000),Kate and Leopold (2001)
Anthony Hopkins,Hannibal (2001),The Edge (1997),Meet Joe Black (1998),Proof (2005)
Alec Baldwin,The Edge (1997),Pearl Harbor (2001),The Departed (2006),The Hunt for Red October (1990),Fun with Dick and Jane (2005)
Angelina Jolie,Bone Collector (1999),Lara Croft Tomb Raider (2001),Mr & Mrs Smith (2005),Salt (2010)
Denzel Washington,Bone Collector (1999),American Gangster (2007),Deja Vu (2006),The Pelican Brief (1993)
Julia Roberts,Pretty Woman (1990),Oceans Eleven (2001),Runaway Bride (1999),Charlie Wilsons War (2007),The Pelican Brief (1993),Notting Hill (1999),Conspiracy Theory (1997)
Gwyneth Paltrow,Shakespeare in Love (1998),Bounce (2000),Proof (2005),Iron Man (2008),Se7en (1995),The Avengers (2012)
Russell Crowe,Gladiator (2000),Cinderella Man (2005),American Gangster (2007),Proof of Life (2000)
Leonardo Di Caprio,Titanic (1997),The Departed (2006),Catch Me If You Can (2002)
Tom Cruise,Mission Impossible (1996),Jerry Maguire (1996),A Few Good Men (1992),Top Gun (1986),Vanilla Sky (2001),Knight and Day (2010),Minority Report (2002),Far and Away (1992),Days of Thunder (1990)
George Clooney,Oceans Eleven (2001),Intolerable Cruelty (2003),The Perfect Storm (2000),Batman & Robin (1997)
Matt Damon,Good Will Hunting (1997),The Departed (2006),Oceans Eleven (2001)
Ben Affleck,Bounce (2000),Good Will Hunting (1997),Pearl Harbor (2001),Armageddon (1998)
Morgan Freeman,Bone Collector (1999),Se7en (1995),Million Dollar Baby (2004),The Bucket List (2007),Outbreak (1995)
Julianne Moore,Assassins (1995),Hannibal (2001),The Hours (2002),The Fugitive (1993)
Salma Hayek,Desperado (1995),Wild Wild West (1999)
Will Smith,Wild Wild West (1999),Hitch (2005),Men in Black (1997)
Renee Zellweger,Me-Myself & Irene (2000),Jerry Maguire (1996),Cinderella Man (2005),Cold Mountain (2003)
Hugh Grant,Notting Hill (1999),Four Weddings and a Funeral (1994),Two Weeks Notice (2002),Music and Lyrics (2007)
Cameron Diaz,Vanilla Sky (2001),Knight and Day (2010),The Holiday (2006),Minority Report (2002),Charlie's Angels (2000),The Mask (1994)
Drew Barrymore,Charlie's Angels (2000),Music and Lyrics (2007),Never Been Kissed (1999),Batman Forever (1995)
Jim Carrey,Batman Forever (1995),The Mask (1994),Me-Myself & Irene (2000),Fun with Dick and Jane (2005)
Nicole Kidman,Australia (2008),Batman Forever (1995),Far and Away (1992),Days of Thunder (1990),Cold Mountain (2003),Billy Bathgate (1991)
Hugh Jackman,Australia (2008),Kate and Leopold (2001),The Prestige (2006),X-Men (2000)
Sean Connery,The Hunt for Red October (1990),Indiana Jones and the Last Crusade (1989),Entrapment (1999)
Harrison Ford,Indiana Jones and the Last Crusade (1989),What Lies Beneath (2000),Six Days Seven Nights (1998),Air Force One (1997),Star Wars (1977),The Fugitive (1993)
Anne Heche,Six Days Seven Nights (1998),Volcano (1997),The Juror (1996)
Tommy Lee Jones,Volcano (1997),Men in Black (1997),Batman Forever (1995),The Fugitive (1993),Space Cowboys (2000),U.S. Marshals (1998)
Bruce Willis,Red (2010),The Sixth Sense (1999),Die Hard (1998),Billy Bathgate (1991),Armageddon (1998),Unbreakable (2000)
Jack Nicholson,The Bucket List (2007),The Departed (2006),A Few Good Men (1992),Batman (1998),The Shining (1980)
Mel Gibson,Conspiracy Theory (1997),Lethal Weapon 3 (1992),Mad Max (1979),Braveheart (1995),The Patriot (2000),Signs (2002),Ransom (1996),Air America (1990)
Patrick Stewart,X-Men (2000),Conspiracy Theory (1997),Star Trek:First Contact (1996)
Rene Russo,Ransom (1996),Outbreak (1995),Lethal Weapon 3 (1992)
Robert Downey Jr,Iron Man (2008),Air America (1990),Chaplin (1992),U.S. Marshals (1998),Sherlock Holmes (2009),The Avengers (2012)
